symbol,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,feature,state
CEG,3,3,1,2,0,0,33.333333333333336,100.0,1.7795653788524186,1.7007898000203356,0.8339070861310848,1.8463987266215625,1,3,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
CMCSA,5,5,1,4,0,0,20.0,20.0,0.6026147666958268,1.8852988862211983,0.4620329449578224,2.0911895783339025,1,5,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
CME,5,5,1,4,0,0,20.0,0.0,1.3168688705330207,1.0682775393288255,1.0179372197309462,1.1659192825112081,1,5,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
CMG,8,8,3,5,0,0,37.5,62.5,1.3205917844790414,0.9501214172701893,0.9331497834335009,1.1083930430111137,1,8,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
COIN,4,4,1,3,0,0,25.0,25.0,1.5211694900142707,1.6815144715662507,0.5434893384397386,1.6977617880038196,1,4,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
COP,2,2,0,2,0,0,0.0,0.0,0.13769395638430623,1.6253086528711114,0.13769395638430623,1.6253086528711114,1,2,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
COST,7,7,3,4,0,0,42.857142857142854,57.142857142857146,0.7550798416065396,0.6444522872886242,0.5230104602092059,0.7720385305249456,1,7,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
CRM,5,5,2,3,0,0,40.0,40.0,0.9665797509153091,0.8402204552812316,0.6484552603137962,0.8034736030515839,1,5,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
CRWD,3,3,1,2,0,0,33.333333333333336,0.0,1.5567548728224987,2.6215538977108004,1.4643265136566586,2.2913256955810093,1,3,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
CSCO,5,5,2,3,0,0,40.0,100.0,1.6734061043122956,0.9400630916449234,0.9230530561588455,0.9986130374479874,1,5,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
CVS,5,5,2,3,0,0,40.0,20.0,0.6606611738738524,1.2936273227597301,0.37730372950225677,0.9577710056595511,1,5,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
CVX,7,7,2,5,0,0,28.571428571428573,14.285714285714286,0.4640037018842313,1.583233105752782,0.376452261958858,1.4802976315237837,1,7,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
DASH,10,9,3,6,1,0,33.333333333333336,50.0,1.8847908615303868,3.071932560525796,1.0615558881473082,2.7510455037618553,1,10,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
DDOG,5,5,3,2,0,0,60.0,40.0,1.3445363408346327,1.4232604610106188,1.3801231845487019,1.3287169225926896,1,5,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
DE,2,2,0,2,0,0,0.0,0.0,0.07632606494945862,1.612565133170889,0.07632606494945862,1.612565133170889,1,2,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
DELL,9,8,4,4,1,0,50.0,44.44444444444444,2.5435767193517536,2.545835130550018,2.4793105753549085,2.6962819934484834,1,9,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
DIS,10,10,6,4,0,0,60.0,80.0,0.8293855464979909,1.0022462633804716,0.8049244184629994,0.9197206133851119,1,10,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
EOG,1,1,0,1,0,0,0.0,0.0,0.11810205908683168,1.593554162936433,0.11810205908683168,1.593554162936433,1,1,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
ETN,2,2,0,2,0,0,0.0,0.0,1.4286409087570122,0.6162952158143453,1.4286409087570122,0.6162952158143453,1,2,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
FDX,1,1,0,1,0,0,0.0,100.0,0.9045146037269648,0.6202499701151576,0.9045146037269648,0.6202499701151576,1,1,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
GE,3,3,3,0,0,0,100.0,66.66666666666667,1.3440314950252858,0.8598408885777887,1.1664265889048917,0.43916663738889083,1,3,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
GILD,7,7,3,4,0,0,42.857142857142854,28.571428571428573,1.255027417381387,0.952967672177964,1.063392816393585,0.8382579079136353,1,7,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
GOOG,11,11,6,5,0,0,54.54545454545455,54.54545454545455,0.9022718371731517,1.4368940124729608,0.6877317529236574,1.3895443343296132,1,11,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
GS,3,3,1,2,0,0,33.333333333333336,0.0,1.5517110554670328,1.5891938904692466,0.0,1.7063125157602685,1,3,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
HAL,7,7,2,5,0,0,28.571428571428573,42.857142857142854,0.6927275695500865,2.5681592637964528,0.28826751225137337,2.3349668492360776,1,7,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
HD,4,4,2,2,0,0,50.0,50.0,1.0798541626397662,1.5958469063177032,0.6828596365740152,1.1968846849909958,1,4,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
