symbol,trade_date,direction,architecture,decision_candle,entry_timestamp,pm_directional_level,ah_directional_level,pd_directional_level,ema9,ema20,c2_vwap,a47_structural_center_price,a47_center_to_ema9_abs_pct,a47_center_to_ema20_abs_pct,a47_center_to_vwap_abs_pct,a47_center_to_nearest_tech_abs_pct,a47_center_to_mean_tech_abs_pct
PLTR,2025-12-29,BEAR,AE2_RECLAIM,2,2025-12-29 14:31:00+00:00,185.94,188.2,188.62,186.05488652055072,186.13363255229265,185.94792183359738,187.58666666666667,0.816571973549621,0.7745934933403334,0.8735934499978478,0.7745934933403334,0.8215863056292675
PLTR,2026-01-02,BEAR,AE2_RECLAIM,2,2026-01-02 14:31:00+00:00,180.42,177.38,177.25,180.82167496243434,181.03102266975714,180.45686289687637,178.35,1.3858564409500138,1.5032367085826412,1.181308044225612,1.181308044225612,1.3568003979194223
PLTR,2026-01-05,BEAR,AE2_RECLAIM,2,2026-01-05 14:31:00+00:00,173.0,167.8336,166.35,174.43246619431235,174.49419967735437,173.88783698389582,169.06119999999999,3.1771134916304686,3.2136289564692486,2.854964346577357,2.854964346577357,3.0819022648923577
PLTR,2026-01-08,BEAR,AE2_RECLAIM,2,2026-01-08 14:31:00+00:00,182.04,180.77,177.66,185.12338741634417,185.53765233193675,184.3928953615581,180.15666666666667,2.7568897901886356,2.9868368264307485,2.351413785163704,2.351413785163704,2.698380133927696
PLTR,2026-01-09,BEAR,AE2_RECLAIM,2,2026-01-09 14:31:00+00:00,176.68,176.37,174.37,176.69913292753034,177.06371357728628,176.11692452502962,175.8066666666667,0.5076407384230646,0.7150166341547032,0.17647673108504608,0.17647673108504608,0.46637803455427124
PLTR,2026-01-16,BULL,AE2_RECLAIM,2,2026-01-16 14:31:00+00:00,179.72,177.72,180.6,179.6408022536208,178.93237207486703,180.56642317217484,179.34666666666666,0.16400393295338278,0.23100211422921982,0.6801110542942007,0.16400393295338278,0.35837236715893445
PLTR,2026-01-27,BULL,AE2_RECLAIM,2,2026-01-27 14:31:00+00:00,169.25,167.8,170.5897,167.68504775859213,167.74421708100212,167.58013533814142,169.21323333333333,0.9031123303050574,0.868145016434618,0.9651124578270283,0.868145016434618,0.9121232681889012
PLTR,2026-02-11,BEAR,AE2_RECLAIM,2,2026-02-11 14:31:00+00:00,136.5,138.7676,137.77,138.79609529808786,139.16438483813954,138.0933145807594,137.6792,0.8112302352772636,1.078728550238185,0.3007822392630032,0.3007822392630032,0.730247008259484
PLTR,2026-02-24,BEAR,AE2_RECLAIM,2,2026-02-24 14:31:00+00:00,127.79,130.25,127.39,128.5477939943417,128.6407497746068,128.51969803001091,128.47666666666666,0.055362058746109485,0.12771432525242743,0.0334935241244235,0.0334935241244235,0.07218996937432014
PLTR,2026-02-27,BULL,AE2_RECLAIM,2,2026-02-27 14:31:00+00:00,137.3,138.54,137.51,134.53157896643572,134.19949467099065,135.4062030517357,137.78333333333333,2.3600491352831363,2.6010683408801394,1.725266927493139,1.725266927493139,2.228794801218805
PLTR,2026-03-04,BULL,AE2_RECLAIM,2,2026-03-04 14:31:00+00:00,150.0,147.78,147.5,149.34841559533885,149.38614840749864,149.4090456753568,148.42666666666665,0.6210130223716773,0.6464348774919084,0.6618615311872162,0.6210130223716773,0.6431031436836007
PLTR,2026-03-13,BEAR,AE2_RECLAIM,2,2026-03-13 13:31:00+00:00,151.28,152.0,150.98,153.35542638347385,153.88167539981427,152.7461674206581,151.42,1.278184112715538,1.6257267202577486,0.8758205129164731,0.8758205129164731,1.2599104486299197
PLTR,2026-03-17,BULL,AE2_RECLAIM,2,2026-03-17 13:31:00+00:00,153.0,152.72,153.86,152.75302106810057,152.67915535059743,152.828389534498,153.19333333333336,0.28742260231045136,0.3356399208424627,0.23822433450238611,0.23822433450238611,0.2870956192184334
PLTR,2026-03-19,BEAR,AE2_RECLAIM,2,2026-03-19 13:31:00+00:00,150.8,151.8,152.61,151.92460320387323,151.97523739357368,151.5171011074979,151.73666666666668,0.12385703557032154,0.15722681415632322,0.14470171514385796,0.12385703557032154,0.14192852162350092
PLTR,2026-03-23,BULL,AE2_RECLAIM,2,2026-03-23 13:31:00+00:00,154.5,152.25,156.65,153.7618840937112,153.24627049002896,154.82806707978676,154.46666666666667,0.45626838991507135,0.7900708955358478,0.23396660322837354,0.23396660322837354,0.49343529622643095
PLTR,2026-03-26,BEAR,AE2_RECLAIM,2,2026-03-26 13:31:00+00:00,151.73,154.1001,154.855,152.24659986123447,152.47486344557666,151.74946015380857,153.5617,0.8563985282564142,0.7077523590995298,1.1801379160242635,0.7077523590995298,0.9147629344600693
PLTR,2026-04-14,BULL,AE2_RECLAIM,2,2026-04-14 13:31:00+00:00,135.52,133.5696,134.4199,135.30153016163487,135.19058636928375,135.23353295244803,134.50316666666666,0.5935648317833019,0.5110806828219102,0.5430104761707262,0.5110806828219102,0.5492186635919795
PLTR,2026-04-15,BEAR,AE2_RECLAIM,2,2026-04-15 13:31:00+00:00,135.1,135.28,134.0,136.27351357705314,136.43563961996946,135.99943641973857,134.79333333333332,1.0981108687767558,1.2183883624087308,0.8947794795033754,0.8947794795033754,1.0704262368962874
